Intent,Conversation,Mistake
Subscription,"[{'speaker': 'Customer', 'text': 'Why was my internet speed reduced?'}, {'speaker': 'Agent', 'text': ""Let me check your plan. It looks like you've exceeded your data limit.""}, {'speaker': 'Customer', 'text': ""That can't be right. I hardly used my internet.""}, {'speaker': 'Agent', 'text': 'I can run a usage analysis for you.'}, {'speaker': 'Customer', 'text': 'Please do, I need to understand this issue.'}, {'speaker': 'Agent', 'text': ""Sure, I'll send you a detailed report shortly.""}]",System
Payment,"[{'speaker': 'Customer', 'text': 'Why was my internet speed reduced?'}, {'speaker': 'Agent', 'text': ""Let me check your plan. It looks like you've exceeded your data limit.""}, {'speaker': 'Customer', 'text': ""That can't be right. I hardly used my internet.""}, {'speaker': 'Agent', 'text': 'I can run a usage analysis for you.'}, {'speaker': 'Customer', 'text': 'Please do, I need to understand this issue.'}, {'speaker': 'Agent', 'text': ""Sure, I'll send you a detailed report shortly.""}]",System
Billing,"[{'speaker': 'Customer', 'text': 'I made a payment, but my account still shows overdue.'}, {'speaker': 'Agent', 'text': 'Let me verify that for you. Can you share the payment reference number?'}, {'speaker': 'Customer', 'text': ""It's REF789012.""}, {'speaker': 'Agent', 'text': 'It seems the payment was delayed. It should reflect in 24 hours.'}, {'speaker': 'Customer', 'text': 'This is frustrating. I paid on time!'}, {'speaker': 'Agent', 'text': 'I understand your concern. I can escalate this for a quicker resolution.'}, {'speaker': 'Customer', 'text': 'Please do. I need this fixed ASAP.'}]",Customer
Payment,"[{'speaker': 'Customer', 'text': ""I reset my password but still can't log in.""}, {'speaker': 'Agent', 'text': 'Have you tried clearing your browser cache and cookies?'}, {'speaker': 'Customer', 'text': ""Yes, but it didn't help.""}, {'speaker': 'Agent', 'text': ""I'll reset it manually for you. Please check your email for a new password.""}, {'speaker': 'Customer', 'text': 'Got it! Now I can log in. Thanks.'}]",Customer
Payment,"[{'speaker': 'Customer', 'text': 'Why was my internet speed reduced?'}, {'speaker': 'Agent', 'text': ""Let me check your plan. It looks like you've exceeded your data limit.""}, {'speaker': 'Customer', 'text': ""That can't be right. I hardly used my internet.""}, {'speaker': 'Agent', 'text': 'I can run a usage analysis for you.'}, {'speaker': 'Customer', 'text': 'Please do, I need to understand this issue.'}, {'speaker': 'Agent', 'text': ""Sure, I'll send you a detailed report shortly.""}]",Customer
Billing,"[{'speaker': 'Customer', 'text': 'Why was my internet speed reduced?'}, {'speaker': 'Agent', 'text': ""Let me check your plan. It looks like you've exceeded your data limit.""}, {'speaker': 'Customer', 'text': ""That can't be right. I hardly used my internet.""}, {'speaker': 'Agent', 'text': 'I can run a usage analysis for you.'}, {'speaker': 'Customer', 'text': 'Please do, I need to understand this issue.'}, {'speaker': 'Agent', 'text': ""Sure, I'll send you a detailed report shortly.""}]",Customer
Subscription,"[{'speaker': 'Customer', 'text': 'Why was my internet speed reduced?'}, {'speaker': 'Agent', 'text': ""Let me check your plan. It looks like you've exceeded your data limit.""}, {'speaker': 'Customer', 'text': ""That can't be right. I hardly used my internet.""}, {'speaker': 'Agent', 'text': 'I can run a usage analysis for you.'}, {'speaker': 'Customer', 'text': 'Please do, I need to understand this issue.'}, {'speaker': 'Agent', 'text': ""Sure, I'll send you a detailed report shortly.""}]",Customer
Subscription,"[{'speaker': 'Customer', 'text': ""I reset my password but still can't log in.""}, {'speaker': 'Agent', 'text': 'Have you tried clearing your browser cache and cookies?'}, {'speaker': 'Customer', 'text': ""Yes, but it didn't help.""}, {'speaker': 'Agent', 'text': ""I'll reset it manually for you. Please check your email for a new password.""}, {'speaker': 'Customer', 'text': 'Got it! Now I can log in. Thanks.'}]",System
Billing,"[{'speaker': 'Customer', 'text': 'I need to cancel my subscription, but the website is not working.'}, {'speaker': 'Agent', 'text': 'I can help you with that. Can you confirm your account details?'}, {'speaker': 'Customer', 'text': ""Yes, it's under John Doe, email john@example.com.""}, {'speaker': 'Agent', 'text': ""Got it. Your subscription has been canceled. You'll receive a confirmation email.""}, {'speaker': 'Customer', 'text': 'Thank you!'}]",System
Billing,"[{'speaker': 'Customer', 'text': 'Why was my internet speed reduced?'}, {'speaker': 'Agent', 'text': ""Let me check your plan. It looks like you've exceeded your data limit.""}, {'speaker': 'Customer', 'text': ""That can't be right. I hardly used my internet.""}, {'speaker': 'Agent', 'text': 'I can run a usage analysis for you.'}, {'speaker': 'Customer', 'text': 'Please do, I need to understand this issue.'}, {'speaker': 'Agent', 'text': ""Sure, I'll send you a detailed report shortly.""}]",Customer
Account Issues,"[{'speaker': 'Customer', 'text': 'Hi, I was charged twice for my last bill. Can you check?'}, {'speaker': 'Agent', 'text': 'Let me check your account. Can you provide your account number?'}, {'speaker': 'Customer', 'text': ""Sure, it's 123456.""}, {'speaker': 'Agent', 'text': ""I see the duplicate charge. I'll process a refund now.""}, {'speaker': 'Customer', 'text': 'Thanks! I appreciate your help.'}]",Agent
Billing,"[{'speaker': 'Customer', 'text': 'I need to cancel my subscription, but the website is not working.'}, {'speaker': 'Agent', 'text': 'I can help you with that. Can you confirm your account details?'}, {'speaker': 'Customer', 'text': ""Yes, it's under John Doe, email john@example.com.""}, {'speaker': 'Agent', 'text': ""Got it. Your subscription has been canceled. You'll receive a confirmation email.""}, {'speaker': 'Customer', 'text': 'Thank you!'}]",Agent
Billing,"[{'speaker': 'Customer', 'text': 'I need to cancel my subscription, but the website is not working.'}, {'speaker': 'Agent', 'text': 'I can help you with that. Can you confirm your account details?'}, {'speaker': 'Customer', 'text': ""Yes, it's under John Doe, email john@example.com.""}, {'speaker': 'Agent', 'text': ""Got it. Your subscription has been canceled. You'll receive a confirmation email.""}, {'speaker': 'Customer', 'text': 'Thank you!'}]",Agent
Billing,"[{'speaker': 'Customer', 'text': 'I made a payment, but my account still shows overdue.'}, {'speaker': 'Agent', 'text': 'Let me verify that for you. Can you share the payment reference number?'}, {'speaker': 'Customer', 'text': ""It's REF789012.""}, {'speaker': 'Agent', 'text': 'It seems the payment was delayed. It should reflect in 24 hours.'}, {'speaker': 'Customer', 'text': 'This is frustrating. I paid on time!'}, {'speaker': 'Agent', 'text': 'I understand your concern. I can escalate this for a quicker resolution.'}, {'speaker': 'Customer', 'text': 'Please do. I need this fixed ASAP.'}]",System
Billing,"[{'speaker': 'Customer', 'text': ""I reset my password but still can't log in.""}, {'speaker': 'Agent', 'text': 'Have you tried clearing your browser cache and cookies?'}, {'speaker': 'Customer', 'text': ""Yes, but it didn't help.""}, {'speaker': 'Agent', 'text': ""I'll reset it manually for you. Please check your email for a new password.""}, {'speaker': 'Customer', 'text': 'Got it! Now I can log in. Thanks.'}]",System
Technical Support,"[{'speaker': 'Customer', 'text': 'I need to cancel my subscription, but the website is not working.'}, {'speaker': 'Agent', 'text': 'I can help you with that. Can you confirm your account details?'}, {'speaker': 'Customer', 'text': ""Yes, it's under John Doe, email john@example.com.""}, {'speaker': 'Agent', 'text': ""Got it. Your subscription has been canceled. You'll receive a confirmation email.""}, {'speaker': 'Customer', 'text': 'Thank you!'}]",Customer
Subscription,"[{'speaker': 'Customer', 'text': 'Why was my internet speed reduced?'}, {'speaker': 'Agent', 'text': ""Let me check your plan. It looks like you've exceeded your data limit.""}, {'speaker': 'Customer', 'text': ""That can't be right. I hardly used my internet.""}, {'speaker': 'Agent', 'text': 'I can run a usage analysis for you.'}, {'speaker': 'Customer', 'text': 'Please do, I need to understand this issue.'}, {'speaker': 'Agent', 'text': ""Sure, I'll send you a detailed report shortly.""}]",System
Payment,"[{'speaker': 'Customer', 'text': ""I reset my password but still can't log in.""}, {'speaker': 'Agent', 'text': 'Have you tried clearing your browser cache and cookies?'}, {'speaker': 'Customer', 'text': ""Yes, but it didn't help.""}, {'speaker': 'Agent', 'text': ""I'll reset it manually for you. Please check your email for a new password.""}, {'speaker': 'Customer', 'text': 'Got it! Now I can log in. Thanks.'}]",Customer
Technical Support,"[{'speaker': 'Customer', 'text': 'Hi, I was charged twice for my last bill. Can you check?'}, {'speaker': 'Agent', 'text': 'Let me check your account. Can you provide your account number?'}, {'speaker': 'Customer', 'text': ""Sure, it's 123456.""}, {'speaker': 'Agent', 'text': ""I see the duplicate charge. I'll process a refund now.""}, {'speaker': 'Customer', 'text': 'Thanks! I appreciate your help.'}]",Agent
Subscription,"[{'speaker': 'Customer', 'text': 'Why was my internet speed reduced?'}, {'speaker': 'Agent', 'text': ""Let me check your plan. It looks like you've exceeded your data limit.""}, {'speaker': 'Customer', 'text': ""That can't be right. I hardly used my internet.""}, {'speaker': 'Agent', 'text': 'I can run a usage analysis for you.'}, {'speaker': 'Customer', 'text': 'Please do, I need to understand this issue.'}, {'speaker': 'Agent', 'text': ""Sure, I'll send you a detailed report shortly.""}]",System
Subscription,"[{'speaker': 'Customer', 'text': 'I made a payment, but my account still shows overdue.'}, {'speaker': 'Agent', 'text': 'Let me verify that for you. Can you share the payment reference number?'}, {'speaker': 'Customer', 'text': ""It's REF789012.""}, {'speaker': 'Agent', 'text': 'It seems the payment was delayed. It should reflect in 24 hours.'}, {'speaker': 'Customer', 'text': 'This is frustrating. I paid on time!'}, {'speaker': 'Agent', 'text': 'I understand your concern. I can escalate this for a quicker resolution.'}, {'speaker': 'Customer', 'text': 'Please do. I need this fixed ASAP.'}]",System
Payment,"[{'speaker': 'Customer', 'text': ""I reset my password but still can't log in.""}, {'speaker': 'Agent', 'text': 'Have you tried clearing your browser cache and cookies?'}, {'speaker': 'Customer', 'text': ""Yes, but it didn't help.""}, {'speaker': 'Agent', 'text': ""I'll reset it manually for you. Please check your email for a new password.""}, {'speaker': 'Customer', 'text': 'Got it! Now I can log in. Thanks.'}]",System
Account Issues,"[{'speaker': 'Customer', 'text': 'I made a payment, but my account still shows overdue.'}, {'speaker': 'Agent', 'text': 'Let me verify that for you. Can you share the payment reference number?'}, {'speaker': 'Customer', 'text': ""It's REF789012.""}, {'speaker': 'Agent', 'text': 'It seems the payment was delayed. It should reflect in 24 hours.'}, {'speaker': 'Customer', 'text': 'This is frustrating. I paid on time!'}, {'speaker': 'Agent', 'text': 'I understand your concern. I can escalate this for a quicker resolution.'}, {'speaker': 'Customer', 'text': 'Please do. I need this fixed ASAP.'}]",Customer
Account Issues,"[{'speaker': 'Customer', 'text': 'Why was my internet speed reduced?'}, {'speaker': 'Agent', 'text': ""Let me check your plan. It looks like you've exceeded your data limit.""}, {'speaker': 'Customer', 'text': ""That can't be right. I hardly used my internet.""}, {'speaker': 'Agent', 'text': 'I can run a usage analysis for you.'}, {'speaker': 'Customer', 'text': 'Please do, I need to understand this issue.'}, {'speaker': 'Agent', 'text': ""Sure, I'll send you a detailed report shortly.""}]",Agent
Account Issues,"[{'speaker': 'Customer', 'text': 'Hi, I was charged twice for my last bill. Can you check?'}, {'speaker': 'Agent', 'text': 'Let me check your account. Can you provide your account number?'}, {'speaker': 'Customer', 'text': ""Sure, it's 123456.""}, {'speaker': 'Agent', 'text': ""I see the duplicate charge. I'll process a refund now.""}, {'speaker': 'Customer', 'text': 'Thanks! I appreciate your help.'}]",Customer
Billing,"[{'speaker': 'Customer', 'text': ""I reset my password but still can't log in.""}, {'speaker': 'Agent', 'text': 'Have you tried clearing your browser cache and cookies?'}, {'speaker': 'Customer', 'text': ""Yes, but it didn't help.""}, {'speaker': 'Agent', 'text': ""I'll reset it manually for you. Please check your email for a new password.""}, {'speaker': 'Customer', 'text': 'Got it! Now I can log in. Thanks.'}]",System
Subscription,"[{'speaker': 'Customer', 'text': 'I made a payment, but my account still shows overdue.'}, {'speaker': 'Agent', 'text': 'Let me verify that for you. Can you share the payment reference number?'}, {'speaker': 'Customer', 'text': ""It's REF789012.""}, {'speaker': 'Agent', 'text': 'It seems the payment was delayed. It should reflect in 24 hours.'}, {'speaker': 'Customer', 'text': 'This is frustrating. I paid on time!'}, {'speaker': 'Agent', 'text': 'I understand your concern. I can escalate this for a quicker resolution.'}, {'speaker': 'Customer', 'text': 'Please do. I need this fixed ASAP.'}]",Agent
Technical Support,"[{'speaker': 'Customer', 'text': ""I reset my password but still can't log in.""}, {'speaker': 'Agent', 'text': 'Have you tried clearing your browser cache and cookies?'}, {'speaker': 'Customer', 'text': ""Yes, but it didn't help.""}, {'speaker': 'Agent', 'text': ""I'll reset it manually for you. Please check your email for a new password.""}, {'speaker': 'Customer', 'text': 'Got it! Now I can log in. Thanks.'}]",Agent
Subscription,"[{'speaker': 'Customer', 'text': ""I reset my password but still can't log in.""}, {'speaker': 'Agent', 'text': 'Have you tried clearing your browser cache and cookies?'}, {'speaker': 'Customer', 'text': ""Yes, but it didn't help.""}, {'speaker': 'Agent', 'text': ""I'll reset it manually for you. Please check your email for a new password.""}, {'speaker': 'Customer', 'text': 'Got it! Now I can log in. Thanks.'}]",Customer
Technical Support,"[{'speaker': 'Customer', 'text': 'Why was my internet speed reduced?'}, {'speaker': 'Agent', 'text': ""Let me check your plan. It looks like you've exceeded your data limit.""}, {'speaker': 'Customer', 'text': ""That can't be right. I hardly used my internet.""}, {'speaker': 'Agent', 'text': 'I can run a usage analysis for you.'}, {'speaker': 'Customer', 'text': 'Please do, I need to understand this issue.'}, {'speaker': 'Agent', 'text': ""Sure, I'll send you a detailed report shortly.""}]",System
Subscription,"[{'speaker': 'Customer', 'text': 'Why was my internet speed reduced?'}, {'speaker': 'Agent', 'text': ""Let me check your plan. It looks like you've exceeded your data limit.""}, {'speaker': 'Customer', 'text': ""That can't be right. I hardly used my internet.""}, {'speaker': 'Agent', 'text': 'I can run a usage analysis for you.'}, {'speaker': 'Customer', 'text': 'Please do, I need to understand this issue.'}, {'speaker': 'Agent', 'text': ""Sure, I'll send you a detailed report shortly.""}]",Agent
Account Issues,"[{'speaker': 'Customer', 'text': 'I need to cancel my subscription, but the website is not working.'}, {'speaker': 'Agent', 'text': 'I can help you with that. Can you confirm your account details?'}, {'speaker': 'Customer', 'text': ""Yes, it's under John Doe, email john@example.com.""}, {'speaker': 'Agent', 'text': ""Got it. Your subscription has been canceled. You'll receive a confirmation email.""}, {'speaker': 'Customer', 'text': 'Thank you!'}]",Agent
Subscription,"[{'speaker': 'Customer', 'text': 'Hi, I was charged twice for my last bill. Can you check?'}, {'speaker': 'Agent', 'text': 'Let me check your account. Can you provide your account number?'}, {'speaker': 'Customer', 'text': ""Sure, it's 123456.""}, {'speaker': 'Agent', 'text': ""I see the duplicate charge. I'll process a refund now.""}, {'speaker': 'Customer', 'text': 'Thanks! I appreciate your help.'}]",Agent
Billing,"[{'speaker': 'Customer', 'text': 'Hi, I was charged twice for my last bill. Can you check?'}, {'speaker': 'Agent', 'text': 'Let me check your account. Can you provide your account number?'}, {'speaker': 'Customer', 'text': ""Sure, it's 123456.""}, {'speaker': 'Agent', 'text': ""I see the duplicate charge. I'll process a refund now.""}, {'speaker': 'Customer', 'text': 'Thanks! I appreciate your help.'}]",System
